video_id,views,likes,comments,snapshot_date
EWGDVNWn3xo,1373,1,0,2026-01-07
_xDrtRBP9dE,2410,8,0,2026-01-07
p13VDmv5fJg,1678,4,0,2026-01-07
R317rzGaQQ8,1347,7,0,2026-01-07
I18H7-TW4t0,763,38,1,2026-01-07
A5rOSWl52ns,726,19,0,2026-01-07
paWwYCBRmiI,1697,7,0,2026-01-07
w0yN6Eo8JC0,1331,7,0,2026-01-07
lisNvZtgjx8,128,5,0,2026-01-07
c8FKSTRExT4,1019,19,0,2026-01-07
JeBICy0JGJw,9905,115,4,2026-01-07
VbdyVnh5Vek,75,0,0,2026-01-07
8FY8rW2bkgE,12486,183,54,2026-01-07
26NdzVXDMxQ,252,6,0,2026-01-07
9aU3H-ETzEc,354,23,0,2026-01-07
Hvhmm-93dI0,204,16,1,2026-01-07
8srvWHYfsjU,166,12,0,2026-01-07
zgp3QvR-q1E,718,8,3,2026-01-07
k0rxaFGPD58,630,10,0,2026-01-07
rCWNxqBHXDg,399,8,1,2026-01-07
BQ7BOFjtGNs,444,7,0,2026-01-07
xpDma0VFGlg,1009,10,10,2026-01-07
MVOpy-FlPd4,1924,28,0,2026-01-07
GsWI00-2gfY,542,27,0,2026-01-07
yahLrm30Qbc,1926,29,0,2026-01-07
jWTbpl8AdjE,219,2,2,2026-01-07
QMgpGWuyOeY,3422,93,0,2026-01-07
pjI91OlxV38,1053,18,0,2026-01-07
FxwF2cbsSY8,2032,35,1,2026-01-07
ed4cfPr6awU,257,2,0,2026-01-07
TnL-Sa-o5Ck,1271,31,27,2026-01-07
h1w1LGmB8B0,415,19,1,2026-01-07
5TTH11RuIn4,53548,675,33,2026-01-07
WxnZmGnmJCg,134,4,3,2026-01-07
BHuEYX0uwqQ,1417,48,0,2026-01-07
B_maslLUboM,568,25,3,2026-01-07
ecJtnCyCxwc,1812,70,0,2026-01-07
0m0iOwtZqns,344,4,0,2026-01-07
IGlpEDW3ODk,632,5,1,2026-01-07
xA0FhtpZC6g,4888,115,1,2026-01-07
YrCGlmgnFjk,46083,1025,67,2026-01-07
vtstUTEFztg,4714,119,2,2026-01-07
onfeqPmB2J8,271,5,1,2026-01-07
0nPv5jZwyrA,1311,20,1,2026-01-07
U9XA5jCceF4,1484,60,8,2026-01-07
FwO1Un7NQqQ,308,8,0,2026-01-07
WjGc_4wBAWI,364,4,0,2026-01-07
GySivL9mNTU,636,4,1,2026-01-07
